"","Card.Number","Date","flow","day"
"4964","3397009669",2017-09-20,"Yummex",4
"4965","3397009673",2017-09-19,"Gulf Host",3
"4966","3397009675",2017-09-19,"Gulf Host-Yummex",3
"4967","3397009684",2017-09-18,"Yummex",2
"4968","3397009684",2017-09-19,"Gulf Host",3
"4969","3397009687",2017-09-19,"Gulf Host-Yummex",3
"4970","3397009687",2017-09-20,"Gulf Host",4
"4971","3397009690",2017-09-20,"Yummex",4
"4972","3397009691",2017-09-19,"Yummex",3
"4973","3397009692",2017-09-19,"Yummex",3
"4974","3397009695",2017-09-19,"Crossover into Hotel / Leisure-Gulf Host",3
"4975","3397009714",2017-09-18,"Gulf Host-Yummex-Gulf Host",2
"4976","3397009714",2017-09-19,"Gulf Host-Crossover into Hotel / Leisure-Gulf Host",3
"4977","3397009714",2017-09-20,"Yummex",4
"4978","3397009721",2017-09-20,"Yummex",4
"4979","3397009723",2017-09-20,"Yummex",4
"4980","3397009726",2017-09-19,"Crossover into Hotel / Leisure",3
"4981","3397009733",2017-09-18,"Yummex",2
"4982","3397009733",2017-09-19,"Gulf Host",3
"4983","3397009733",2017-09-20,"Gulf Host",4
"4984","3397009734",2017-09-19,"Crossover into Hotel / Leisure",3
"4985","3397009743",2017-09-19,"Gulf Host-Yummex-Crossover into Hotel / Leisure",3
"4986","3397009747",2017-09-19,"Crossover into Hotel / Leisure-Seafex",3
"4987","3397009747",2017-09-20,"The Specialty Food Festival",4
"4988","3397009763",2017-09-18,"Gulf Host",2
"4989","3397009770",2017-09-18,"Gulf Host",2
"4990","3397009770",2017-09-20,"Gulf Host",4
"4991","3397009771",2017-09-18,"Gulf Host",2
"4992","3397009771",2017-09-20,"Gulf Host",4
"4993","3397009773",2017-09-19,"Gulf Host",3
"4994","3397009783",2017-09-20,"Yummex",4
"4995","3397009784",2017-09-18,"Yummex",2
"4996","3397009784",2017-09-19,"Gulf Host",3
"4997","3397009788",2017-09-18,"Gulf Host",2
"4998","3397009791",2017-09-19,"Gulf Host-The Specialty Food Festival-Gulf Host",3
"4999","3397009799",2017-09-18,"Yummex",2
"5000","3397009800",2017-09-20,"Yummex-The Specialty Food Festival-Gulf Host",4
"5001","3397009802",2017-09-18,"Yummex-Gulf Host",2
"5002","3397009802",2017-09-20,"Yummex-Gulf Host",4
"5003","3397009806",2017-09-19,"Gulf Host",3
"5004","3397009808",2017-09-19,"Gulf Host",3
"5005","3397009811",2017-09-18,"Yummex",2
"5006","3397009814",2017-09-19,"Yummex",3
"5007","3397009814",2017-09-20,"Gulf Host-Yummex",4
"5008","3397009818",2017-09-19,"Gulf Host-Yummex",3
"5009","3397009819",2017-09-18,"Gulf Host",2
"5010","3397009819",2017-09-19,"Crossover into Hotel / Leisure-Yummex-Gulf Host",3
"5011","3397009823",2017-09-19,"Yummex-Seafex",3
"5012","3397009826",2017-09-19,"Gulf Host",3
"5013","3397009829",2017-09-18,"Gulf Host",2
"5014","3397009829",2017-09-19,"Gulf Host",3
"5015","3397009829",2017-09-20,"Gulf Host",4
"5016","3397009830",2017-09-19,"Crossover into Hotel / Leisure",3
"5017","3397009833",2017-09-19,"Gulf Host",3
"5018","3397009833",2017-09-20,"Gulf Host",4
"5019","3397009837",2017-09-18,"Gulf Host",2
"5020","3397009837",2017-09-20,"Yummex",4
"5021","3397009839",2017-09-18,"Gulf Host",2
"5022","3397009839",2017-09-20,"Yummex",4
"5023","3397009849",2017-09-18,"Gulf Host",2
"5024","3397009849",2017-09-20,"Gulf Host-Yummex",4
"5025","3397009851",2017-09-19,"Gulf Host-Yummex",3
"5026","3397009852",2017-09-18,"Gulf Host",2
"5027","3397009853",2017-09-18,"Gulf Host",2
"5028","3397009855",2017-09-18,"Yummex",2
"5029","3397009857",2017-09-20,"Yummex-Gulf Host",4
"5030","3397009860",2017-09-19,"Gulf Host-Yummex-Seafex",3
"5031","3397009870",2017-09-18,"Yummex-Gulf Host",2
"5032","3397009874",2017-09-19,"Yummex-Crossover into Hotel / Leisure-Gulf Host",3
"5033","3397009874",2017-09-20,"Gulf Host",4
"5034","3397009875",2017-09-18,"Seafex",2
"5035","3397009876",2017-09-18,"Yummex",2
"5036","3397009876",2017-09-19,"Crossover into Hotel / Leisure",3
"5037","3397009877",2017-09-18,"Yummex",2
"5038","3397009877",2017-09-20,"Gulf Host-Yummex",4
"5039","3397009881",2017-09-18,"Gulf Host",2
"5040","3397009881",2017-09-19,"Crossover into Hotel / Leisure-Seafex",3
"5041","3397009893",2017-09-18,"Gulf Host",2
"5042","3397009893",2017-09-19,"Crossover into Hotel / Leisure-Yummex-Gulf Host",3
"5043","3397009897",2017-09-19,"Yummex",3
"5044","3397009900",2017-09-19,"Gulf Host",3
"5045","3397009902",2017-09-19,"Yummex",3
"5046","3397009902",2017-09-20,"Yummex-The Specialty Food Festival",4
"5047","3397009905",2017-09-19,"Gulf Host",3
"5048","3397009909",2017-09-18,"Gulf Host",2
"5049","3397009909",2017-09-19,"Gulf Host",3
"5050","3397009914",2017-09-18,"Yummex",2
"5051","3397009917",2017-09-20,"Yummex",4
"5052","3397009931",2017-09-19,"Yummex",3
"5053","3397009936",2017-09-19,"Yummex",3
"5054","3397009939",2017-09-19,"Gulf Host-Crossover into Hotel / Leisure",3
"5055","3397009940",2017-09-19,"Gulf Host-Crossover into Hotel / Leisure",3
"5056","3397009944",2017-09-18,"Gulf Host",2
"5057","3397009949",2017-09-18,"Yummex-Gulf Host",2
"5058","3397009951",2017-09-18,"Gulf Host-Yummex",2
"5059","3397009951",2017-09-19,"Gulf Host",3
"5060","3397009952",2017-09-18,"Gulf Host-Yummex",2
"5061","3397009952",2017-09-19,"Gulf Host",3
"5062","3397009953",2017-09-18,"Gulf Host-Yummex-Gulf Host",2
"5063","3397009953",2017-09-19,"Gulf Host",3
"5064","3397009964",2017-09-18,"Yummex",2
"5065","3397009964",2017-09-19,"Gulf Host-Yummex-Gulf Host",3
"5066","3397009966",2017-09-18,"Gulf Host",2
"5067","3397009967",2017-09-18,"Yummex",2
"5068","3397009968",2017-09-18,"Yummex",2
"5069","3397009973",2017-09-20,"Yummex",4
"5070","3397009974",2017-09-20,"Yummex",4
"5071","3397009975",2017-09-20,"Yummex",4
"5072","3397009977",2017-09-19,"Yummex",3
"5073","3397009977",2017-09-20,"Yummex",4
"5074","3397009980",2017-09-20,"Yummex",4
"5075","3397009987",2017-09-19,"Gulf Host",3
"5076","3397009990",2017-09-20,"Gulf Host-Yummex",4
"5077","3397009994",2017-09-19,"Crossover into Hotel / Leisure",3
"5078","3397009994",2017-09-20,"Yummex",4
"5079","3397009996",2017-09-19,"Gulf Host",3
